87/7,0,0,0,-5,-2,-5,-1,-2,-9,-10,-1,5,-4,4,-8,2,6,-13,-11,8,-13,8,6,-1,0
-73/9,0,0,2,1,0,0,1,-2,-4,-5,4,5,-6,7,-6,-2,4,-10,2,5,-11,12,6,-14,6
-1,0,-2,1,1,6,6,3,1,-4,0,1,7,12,10,-8,0,4,0,4,-8,1,8,12,-9,8
-18,-1,0,3,3,-3,-5,3,0,-3,4,-9,-5,2,-4,-3,-3,2,1,-2,8,-2,-10,-6,-14,-14
-17/7,0,2,1,-5,4,-5,-8,-2,4,10,-6,-11,12,8,7,6,4,-2,2,8,-13,-8,4,-14,1
-50/79,1,2,0,3,0,0,2,1,6,0,-1,11,3,-6,11,7,10,-13,2,-9,-5,-8,16,-8,-10
1,0,2,2,0,-5,2,4,0,-3,4,2,8,-6,-6,2,-3,0,10,12,2,-16,0,11,-6,8
1/2,0,-2,0,-5,2,6,-4,-2,1,6,4,-5,12,-2,-8,-2,-14,4,-10,7,-8,1,-4,6,5
-85/53,0,2,0,-5,-3,-6,-8,-2,-3,-5,6,-10,10,-1,0,5,-12,-5,-12,8,-4,-10,6,6,6
55/43,0,2,0,1,0,-5,-3,-2,-4,-4,-6,-2,-9,-12,0,4,-11,2,-10,-15,-4,12,15,-15,-9
-9,0,-3,0,-5,-1,-5,-3,-2,4,7,-1,-6,8,5,-6,-2,-5,-7,-8,0,2,-8,0,1,13
26/45,1,0,0,-5,-3,-7,1,0,-4,-1,-2,-1,0,-1,1,6,-11,1,12,-8,2,10,-3,-1,-13
-27/10,0,0,0,-5,4,-1,3,-2,6,-4,10,8,7,-10,4,-2,-11,6,11,-9,-5,10,6,-10,-6
-95/92,0,-2,0,3,-5,-1,4,1,0,10,-6,-2,-1,4,-8,1,-11,-12,5,13,10,-4,16,-6,10
1/2,0,-2,0,-5,2,6,-4,-2,1,6,4,-5,12,-2,-8,-2,-14,4,-10,7,-8,1,-4,6,5
69/17,0,0,3,1,2,2,-2,-2,-7,4,0,-6,-2,10,10,6,-9,-8,10,11,-6,0,6,2,17
-16/15,0,0,0,-5,4,-5,-3,1,6,-8,2,-1,-4,-10,-8,-10,-1,-5,9,-15,-11,-11,10,-15,18
92/59,0,2,0,-5,-5,0,2,1,-7,-4,-8,-2,0,4,8,-11,10,-2,-11,13,14,12,10,1,11
-27/19,0,0,2,3,0,0,6,-2,-3,2,1,-7,-6,7,12,1,-9,-1,2,-3,-8,15,2,-2,10
-45/94,0,0,0,1,0,4,6,-2,1,-4,8,10,0,-9,3,6,-12,1,-12,-9,4,-16,17,1,-6
2/3,-1,0,2,3,0,-5,6,-2,-6,7,3,10,4,9,13,3,7,-5,5,-7,-11,12,10,-8,14
23/95,0,2,0,-5,0,-1,-3,-2,-7,0,-9,-11,0,-10,0,-9,4,13,10,-13,0,15,-16,9,10
-37/38,0,2,2,-5,0,4,6,-2,-9,-5,-1,-11,7,8,0,-10,-4,-7,-10,12,4,-6,-3,-10,2
-16/15,0,0,0,-5,4,-5,-3,1,6,-8,2,-1,-4,-10,-8,-10,-1,-5,9,-15,-11,-11,10,-15,18
11/52,0,-2,3,1,0,-2,5,-2,-8,5,-6,10,-6,-4,0,6,9,1,-14,-7,6,-8,2,4,-7
57/37,0,0,0,-5,2,-5,-6,1,-3,-10,-7,-8,0,-12,-8,5,-4,8,12,9,-6,13,14,10,14
-65/77,0,-2,0,-5,-2,-7,-5,-2,1,0,6,-2,0,-12,6,-4,0,-2,-13,2,-13,13,16,-6,3
5/7,0,-2,0,-5,4,2,-3,-2,0,0,-1,-1,-4,-1,0,-2,-13,1,-4,-3,-7,-6,12,6,17
-27/11,0,0,3,1,-2,6,-3,0,6,4,6,10,-6,8,0,0,0,1,16,12,8,10,-16,-12,-5
