43/39,0,0,2,-1,1,-1,4,-3,-3,-6,0,11,-11,-8,-8,12,-4,1,-15,-9,-10,9,8,15,-10
1/7,0,0,0,3,0,5,-7,-2,0,-10,-3,2,5,4,-3,-6,-15,13,5,12,-9,4,9,3,4
33/83,0,0,0,2,3,-2,4,-1,-2,-6,0,6,-5,-2,12,-1,4,2,11,9,3,2,-12,12,-1
-76/35,0,0,1,-1,-4,-4,0,-1,-2,1,5,-8,5,-4,-9,-2,-4,1,-5,0,4,2,9,6,-9
-33/40,0,0,2,3,-3,-6,2,1,2,10,10,-2,-5,6,6,-12,12,-14,14,-9,10,8,8,-8,-7
78/35,0,0,0,2,0,-1,-6,-4,0,5,10,-7,9,-4,-13,-2,-5,9,0,8,0,4,9,0,10
-50/81,0,0,-3,-1,-1,-2,-1,-7,-6,-5,3,-2,12,10,13,2,-8,-5,14,-12,6,10,14,18,-10
-71/43,0,0,4,0,5,2,4,-2,-4,0,0,-9,-4,6,0,-10,14,-4,-2,-6,2,2,5,-14,17
36/49,0,0,2,4,3,1,2,2,4,2,-4,-6,4,-10,-4,-6,4,8,2,-5,11,0,-9,-14,3
-75/64,0,0,-2,4,0,2,6,-8,6,8,-5,6,9,-2,4,6,-8,-3,8,-2,-8,16,4,6,-18
49/40,0,0,1,1,-1,5,0,4,4,-4,-2,-8,0,11,6,1,-5,11,-13,0,10,-10,6,-14,-4
89/42,0,0,-1,0,-3,4,-7,2,0,3,8,-11,-6,4,-9,10,0,2,-3,-8,-4,-6,1,-6,5
59/39,0,0,1,1,0,-5,-3,-4,4,9,-8,-2,6,-8,3,-5,-12,2,16,-3,9,-8,9,9,-10
-94/75,0,0,3,3,3,0,-4,7,-6,-3,6,-5,-6,-8,8,-6,-2,8,8,15,-6,-16,-17,3,10
-47/60,0,0,3,-1,2,4,3,0,8,-2,-7,7,2,8,0,11,11,6,-3,-16,7,3,-16,14,-2
-72/65,0,0,3,4,6,3,-2,0,-2,-3,9,-2,5,-2,-12,-3,14,0,0,0,-7,6,-11,-10,-10
-66/47,0,0,0,3,-3,-1,1,-1,-6,4,-4,5,-10,1,2,4,0,5,8,6,-6,12,-15,6,-2
73/66,0,0,4,2,-3,-6,8,4,-2,0,5,-1,-11,-5,12,3,11,10,4,-6,-11,-2,-3,6,-7
93/41,0,0,-1,-1,1,-3,4,-5,1,-6,2,0,-12,-12,-3,-6,12,3,4,14,14,0,3,7,-7
