Score: -43.668274, Count: 13611
Score: -52.289013, Count: 2
Score: -60.588486, Count: 1
Score: -66.407074, Count: 1
Score: -93.01708, Count: 1
Score: -95.17414, Count: 1
Score: -100.903114, Count: 1
Score: -107.24029, Count: 1
Score: -108.149704, Count: 1
Score: -108.82764, Count: 1
Score: -110.134445, Count: 1
Score: -112.28652, Count: 1
Score: -113.49175, Count: 1
Score: -115.42553, Count: 1
Score: -117.0572, Count: 1
Score: -117.997345, Count: 1
Score: -118.79943, Count: 1
Score: -123.83966, Count: 1
Score: -124.25202, Count: 1
Score: -124.72995, Count: 1
Score: -125.620544, Count: 1
Score: -127.38829, Count: 1
Score: -128.32637, Count: 1
Score: -128.34186, Count: 1
Score: -130.04237, Count: 1
Score: -130.36163, Count: 1
Score: -131.15094, Count: 1
Score: -131.22253, Count: 1
Score: -131.2285, Count: 1
Score: -131.68716, Count: 1
Score: -132.1156, Count: 1
Score: -133.2507, Count: 1
Score: -133.60233, Count: 1
Score: -133.6226, Count: 1
Score: -134.5858, Count: 1
Score: -135.25156, Count: 1
Score: -136.55502, Count: 1
Score: -136.7772, Count: 1
Score: -137.28052, Count: 1
Score: -138.01376, Count: 1
Score: -138.2765, Count: 1
Score: -138.78012, Count: 1
Score: -139.4508, Count: 1
Score: -139.82625, Count: 1
Score: -140.16129, Count: 1
Score: -140.5638, Count: 1
Score: -141.05011, Count: 1
Score: -141.85313, Count: 1
Score: -143.25125, Count: 1
Score: -143.3538, Count: 1
Score: -144.319, Count: 1
Score: -144.48454, Count: 1
Score: -144.90897, Count: 1
Score: -145.13788, Count: 1
Score: -145.14159, Count: 1
Score: -145.73846, Count: 1
Score: -145.76451, Count: 1
Score: -145.91072, Count: 1
Score: -146.11964, Count: 1
Score: -147.08012, Count: 1
Score: -147.13802, Count: 1
Score: -147.24394, Count: 1
Score: -147.40862, Count: 1
Score: -147.44972, Count: 1
Score: -147.68208, Count: 1
Score: -148.1957, Count: 1
Score: -148.4463, Count: 1
Score: -149.05302, Count: 1
Score: -149.62491, Count: 2
Score: -149.95956, Count: 1
Score: -150.58185, Count: 1
Score: -150.60567, Count: 1
Score: -151.55382, Count: 1
Score: -151.7073, Count: 1
Score: -151.79724, Count: 1
Score: -152.07568, Count: 1
Score: -152.56267, Count: 1
Score: -152.74472, Count: 1
Score: -152.77748, Count: 1
Score: -153.00624, Count: 1
Score: -153.1154, Count: 1
Score: -153.74034, Count: 1
Score: -153.80545, Count: 1
Score: -153.9025, Count: 1
Score: -154.51282, Count: 1
Score: -154.59511, Count: 1
Score: -154.89394, Count: 1
Score: -155.48619, Count: 1
Score: -155.61256, Count: 1
Score: -156.42192, Count: 1
Score: -156.83098, Count: 1
Score: -156.97679, Count: 1
Score: -157.02515, Count: 1
Score: -157.05621, Count: 1
Score: -157.06474, Count: 1
Score: -157.0754, Count: 1
Score: -157.23964, Count: 1
Score: -157.70291, Count: 1
Score: -157.70415, Count: 1
Score: -158.21059, Count: 1
Score: -158.45074, Count: 1
Score: -159.46819, Count: 1
Score: -159.57414, Count: 1
Score: -160.13644, Count: 1
Score: -160.25772, Count: 1
Score: -160.74234, Count: 1
Score: -160.75436, Count: 1
Score: -161.01128, Count: 1
Score: -161.07031, Count: 1
Score: -161.36879, Count: 1
Score: -161.52864, Count: 1
Score: -161.64162, Count: 1
Score: -161.82172, Count: 1
Score: -161.94688, Count: 1
Score: -162.32658, Count: 1
Score: -162.63445, Count: 1
Score: -162.78851, Count: 1
Score: -162.81607, Count: 1
Score: -162.91278, Count: 1
Score: -162.9437, Count: 1
Score: -163.00749, Count: 1
Score: -163.02457, Count: 1
Score: -163.05365, Count: 1
Score: -163.2294, Count: 1
Score: -163.50963, Count: 1
Score: -163.59688, Count: 1
Score: -163.778, Count: 1
Score: -163.8263, Count: 1
Score: -164.0396, Count: 1
Score: -164.1383, Count: 1
Score: -164.21693, Count: 1
Score: -164.4566, Count: 1
Score: -164.68816, Count: 1
Score: -164.97641, Count: 1
Score: -165.16422, Count: 1
Score: -165.30977, Count: 1
Score: -165.39305, Count: 1
Score: -165.42232, Count: 1
Score: -165.4233, Count: 1
Score: -165.87303, Count: 1
Score: -166.04385, Count: 1
Score: -166.12328, Count: 1
Score: -166.6181, Count: 1
Score: -166.7795, Count: 1
Score: -166.87073, Count: 1
Score: -167.07066, Count: 1
Score: -167.40785, Count: 1
Score: -167.6603, Count: 1
Score: -167.7638, Count: 1
Score: -167.82523, Count: 1
Score: -168.05672, Count: 1
Score: -168.24356, Count: 1
Score: -168.43202, Count: 1
Score: -168.51411, Count: 1
Score: -168.57538, Count: 1
Score: -168.60707, Count: 1
Score: -168.88495, Count: 1
Score: -169.01274, Count: 1
Score: -169.35252, Count: 1
Score: -169.54694, Count: 1
Score: -169.55066, Count: 1
Score: -169.5984, Count: 1
Score: -169.74431, Count: 1
Score: -169.7663, Count: 1
Score: -169.9701, Count: 1
Score: -170.16734, Count: 1
Score: -170.21028, Count: 1
Score: -170.262, Count: 1
Score: -170.36778, Count: 1
Score: -170.3864, Count: 1
Score: -170.88042, Count: 1
Score: -170.88475, Count: 1
Score: -171.08319, Count: 1
Score: -171.27856, Count: 1
Score: -171.29897, Count: 1
Score: -171.30536, Count: 1
Score: -171.33124, Count: 1
Score: -171.55243, Count: 1
Score: -171.55585, Count: 1
Score: -171.60014, Count: 1
Score: -171.77296, Count: 1
Score: -171.95131, Count: 1
Score: -171.97452, Count: 1
Score: -172.11896, Count: 1
Score: -172.21634, Count: 1
Score: -172.24536, Count: 1
Score: -172.4219, Count: 1
Score: -172.45659, Count: 1
Score: -172.51051, Count: 1
Score: -172.65688, Count: 1
Score: -172.7993, Count: 1
Score: -172.87044, Count: 1
Score: -172.95248, Count: 1
Score: -172.96928, Count: 1
Score: -173.06514, Count: 1
Score: -173.12291, Count: 1
Score: -173.22481, Count: 1
Score: -173.38054, Count: 1
Score: -173.48814, Count: 1
Score: -173.61624, Count: 1
Score: -173.68391, Count: 1
Score: -174.09067, Count: 1
Score: -174.24858, Count: 1
Score: -174.30325, Count: 1
Score: -174.45502, Count: 1
Score: -174.51218, Count: 1
Score: -174.56477, Count: 1
Score: -174.6093, Count: 1
Score: -175.02414, Count: 1
Score: -175.37227, Count: 1
Score: -175.41966, Count: 1
Score: -175.72815, Count: 1
Score: -176.19237, Count: 1
Score: -176.26291, Count: 1
Score: -176.6609, Count: 1
Score: -177.17412, Count: 1
Score: -177.2989, Count: 1
Score: -177.48271, Count: 1
Score: -177.53508, Count: 1
Score: -178.30128, Count: 1
Score: -178.32687, Count: 1
Score: -178.39062, Count: 1
Score: -178.4578, Count: 1
Score: -178.46657, Count: 1
Score: -178.61629, Count: 1
Score: -178.70535, Count: 1
Score: -178.80891, Count: 1
Score: -179.20702, Count: 1
Score: -179.24304, Count: 1
Score: -179.24745, Count: 1
Score: -179.53438, Count: 1
