-8/9,0,0,0,3,-3,0,4,1,-8,-5,6,-3,-1,1,4,-7,6,-2,-7,6,2,4,4,6,1
-14/19,-1,2,1,1,-5,0,-1,-2,-3,9,-9,-7,2,4,-8,6,-2,2,5,4,7,-4,-3,6,6
-7/8,0,2,4,1,2,-5,2,-2,6,10,3,10,0,-1,12,3,-11,-8,-12,-12,-5,4,2,6,-8
-10/7,1,-2,0,-5,0,-6,4,1,-3,4,3,-7,-7,-6,-8,-2,0,10,4,6,7,10,14,-10,0
-7/6,0,0,2,1,0,2,-3,1,6,2,-10,-2,-2,-4,-6,6,0,-1,-3,-1,0,-6,0,-4,-6
60/79,0,0,0,1,0,-5,1,0,2,6,-5,-8,12,8,-6,-2,5,-3,-4,2,-4,-8,0,-7,-19
29/38,0,2,-2,-5,0,2,2,-2,-3,-10,-9,6,-5,4,4,-2,0,5,4,15,10,11,2,0,-12
63/82,0,0,2,1,2,-6,-3,0,-9,0,-1,-1,6,4,-10,-14,-4,-5,5,9,-6,10,1,1,0
60/83,0,0,0,3,6,6,-3,-2,-3,3,-7,-5,-3,1,-2,-6,-4,-11,-10,3,11,-16,-16,6,1
68/79,0,-2,2,1,-5,1,-8,-2,-6,-4,-10,-2,8,8,-6,-4,10,-6,16,0,7,-8,3,10,-6
64/81,0,0,1,1,4,-5,4,1,-3,0,-5,-7,-6,-1,-8,-2,0,-7,-6,-12,-13,-10,2,-10,-1
28/5,0,-2,0,1,6,1,-4,-2,-3,2,10,10,-7,4,-6,1,2,8,11,-12,2,-14,6,1,-2
-43/24,0,0,3,1,2,0,-5,1,-8,-8,0,-7,-6,-1,-6,-6,7,10,12,4,14,-4,3,-9,2
-40/27,0,0,0,-5,-2,6,-3,-2,-3,7,1,-8,-6,0,4,-4,6,0,12,14,-13,-4,12,8,-18
-19/13,0,-2,-3,-5,4,-2,-4,1,6,5,-1,11,6,-4,1,-4,0,-8,-7,12,7,8,10,12,14
-20/13,0,2,0,1,-5,-2,2,1,6,2,-1,10,-4,9,-11,-2,5,-11,4,-12,0,-4,-4,8,13
-23/11,0,-2,3,3,-2,-5,4,-2,-7,3,3,-2,-3,4,-6,-9,-14,-1,11,8,-13,-4,5,6,11
-47/25,0,2,0,-5,6,-5,-4,1,3,3,-9,10,7,2,-8,-6,-7,-5,-12,-3,-10,10,-4,1,10
19/3,0,0,-3,-5,6,0,6,1,4,4,-9,-1,6,6,3,-10,-13,2,5,14,-2,15,12,-6,7
73/9,0,0,-2,-5,-1,4,-1,1,-8,0,0,-8,12,-9,-3,-2,-1,-10,5,13,-11,0,4,6,13
